tim.,TIMON of Athens,Globe_Shakespeare/tim.xml,,MALE,GD
lucul.,LUCULLUS,Globe_Shakespeare/tim.xml,,MALE,GD
sem.,SEMPRONIUS,Globe_Shakespeare/tim.xml,,MALE,GD
ven.,VENTIDIUS,Globe_Shakespeare/tim.xml,,MALE,GD
alcib.,ALCIBIADES,Globe_Shakespeare/tim.xml,,MALE,GD
apem.,APEMANTUS,Globe_Shakespeare/tim.xml,,MALE,GD
flav.,FLAVIUS,Globe_Shakespeare/tim.xml,,MALE,GD
poet.,Poet,Globe_Shakespeare/tim.xml,,MALE,GD
pain.,,Globe_Shakespeare/tim.xml,,MALE,GD
jew.,Jeweller,Globe_Shakespeare/tim.xml,,MALE,GD
mer.,Merchant,Globe_Shakespeare/tim.xml,,MALE,GD
old-ath.,An old Athenian,Globe_Shakespeare/tim.xml,,MALE,GD
flam.,FLAMINIUS,Globe_Shakespeare/tim.xml,,MALE,GD
luc.,LUCILIUS,Globe_Shakespeare/tim.xml,,MALE,GD
ser.,SERVILIUS,Globe_Shakespeare/tim.xml,,MALE,GD
caph.,CAPHIS,Globe_Shakespeare/tim.xml,,MALE,GD
phi.,PHILOTUS,Globe_Shakespeare/tim.xml,,MALE,GD
tit.,TITUS,Globe_Shakespeare/tim.xml,,MALE,GD
luc.-serv.,LUCIUS,Globe_Shakespeare/tim.xml,,MALE,GD
hor.,HORTENSIUS,Globe_Shakespeare/tim.xml,,MALE,GD
page.,A Page,Globe_Shakespeare/tim.xml,,MALE,GD
fool.,A Fool,Globe_Shakespeare/tim.xml,,MALE,GD
first-stran.,First Stranger,Globe_Shakespeare/tim.xml,,MALE,GD
sec.-stran.,Second Stranger,Globe_Shakespeare/tim.xml,,MALE,GD
third-stran.,Third Stranger,Globe_Shakespeare/tim.xml,,MALE,GD
phr.,Phrynia,Globe_Shakespeare/tim.xml,,FEMALE,GD
timan.,Timandra,Globe_Shakespeare/tim.xml,,FEMALE,GD
cup.,Cupid,Globe_Shakespeare/tim.xml,,MALE,GD
first-lord.,First Lord,Globe_Shakespeare/tim.xml,,MALE,GD
sec.-lord.,Second Lord,Globe_Shakespeare/tim.xml,,MALE,GD
third-lord.,Third Lord,Globe_Shakespeare/tim.xml,,MALE,GD
fourth-lord.,Fourth Lord,Globe_Shakespeare/tim.xml,,MALE,GD
fir.-sec.-lords.,First and Sec. Lords,Globe_Shakespeare/tim.xml,,MALE,GD
all-lords.,All Lords,Globe_Shakespeare/tim.xml,,MALE,GD
first-lady.,First Lady,Globe_Shakespeare/tim.xml,,FEMALE,GD
all-ladies.,All Ladies,Globe_Shakespeare/tim.xml,,FEMALE,GD
all.,All,Globe_Shakespeare/tim.xml,,MALE,GD
both.,Both,Globe_Shakespeare/tim.xml,,MALE,GD
some.,Some,Globe_Shakespeare/tim.xml,,MALE,GD
serv.,Servant,Globe_Shakespeare/tim.xml,,MALE,GD
first-serv.,First Servant,Globe_Shakespeare/tim.xml,,MALE,GD
sec.-serv.,Second Servant,Globe_Shakespeare/tim.xml,,MALE,GD
third-serv.,Third Servant,Globe_Shakespeare/tim.xml,,MALE,GD
all-serv.,All Servants,Globe_Shakespeare/tim.xml,,MALE,GD
servants.,Servants,Globe_Shakespeare/tim.xml,,MALE,GD
var.-serv.,Servant to Varro,Globe_Shakespeare/tim.xml,,MALE,GD
first-var.-serv.,First Servant to Varro,Globe_Shakespeare/tim.xml,,MALE,GD
sec.-var.-serv.,Second Servant to Varro,Globe_Shakespeare/tim.xml,,MALE,GD
both-serv.,Both Servants to Varro,Globe_Shakespeare/tim.xml,,MALE,GD
isid.-serv.,Servant to Isidore,Globe_Shakespeare/tim.xml,,MALE,GD
sen.,Senator,Globe_Shakespeare/tim.xml,,MALE,GD
first-sen.,First Senator,Globe_Shakespeare/tim.xml,,MALE,GD
sec.-sen.,Second Senator,Globe_Shakespeare/tim.xml,,MALE,GD
third-sen.,Third Senator,Globe_Shakespeare/tim.xml,,MALE,GD
mess.,Messenger,Globe_Shakespeare/tim.xml,,MALE,GD
first-ban.,First Bandit,Globe_Shakespeare/tim.xml,,MALE,GD
sec.-ban.,Second Bandit,Globe_Shakespeare/tim.xml,,MALE,GD
banditti.,Banditti,Globe_Shakespeare/tim.xml,,MALE,GD
sold.,Soldier,Globe_Shakespeare/tim.xml,,MALE,GD
tgv-10,DUKE OF MILAN,Globe_Shakespeare/tgv.xml,,MALE,GD
tgv-4,VALENTINE,Globe_Shakespeare/tgv.xml,,MALE,GD
tgv-2,PROTEUS,Globe_Shakespeare/tgv.xml,,MALE,GD
tgv-1,ANTONIO,Globe_Shakespeare/tgv.xml,,MALE,GD
tgv-11,THURIO,Globe_Shakespeare/tgv.xml,,MALE,GD
tgv-15,EGLAMOUR,Globe_Shakespeare/tgv.xml,,MALE,GD
tgv-16,HOST,Globe_Shakespeare/tgv.xml,,MALE,GD
tgv-13,Outlaws,Globe_Shakespeare/tgv.xml,,MALE,GD
